chromosome	p_Genes	q_Genes	pArmEnds	CM_row_pos
1	100	83	145917714	100
2	43	52	96184859	43
3	32	46	100492619	32
4	11	22	55395957	11
5	8	47	73498408	8
6	47	24	73515750	47
7	29	35	74174245	29
8	5	39	47773108	5
9	6	38	72351425	6
10	13	30	43385617	13
11	38	74	57551656	38
12	20	73	43793723	20
13	0	23	20187470	0
14	0	65	20801228	0
15	0	37	31326855	0
16	28	25	55389700	28
17	28	77	28719393	28
18	9	20	21612267	9
19	65	57	29205321	65
20	13	49	31514428	13
21	0	17	17512382	0
22	0	38	19941607	0
23	17	23	65588377	17
